"","q16","reltrad","income"
"9877"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"9878"," Jewish (Judaism) "," Jewish ","$150,000 or more"
"9879"," Nothing in particular "," Unaffiliated ","10 to under $20,000"
"9880"," Agnostic (not sure if there is a God) "," Unaffiliated ","50 to under $75,000"
"9881"," Roman Catholic "," Catholic ","40 to under $50,000"
"9882"," Roman Catholic "," Catholic ","30 to under $40,000"
"9883"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"9884"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"9885"," Roman Catholic "," Catholic ","50 to under $75,000"
"9886"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"9887"," Nothing in particular "," Unaffiliated ","$150,000 or more"
"9888"," Roman Catholic "," Catholic ","50 to under $75,000"
"9889"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"9890"," Roman Catholic "," Catholic ","Less than $10,000"
"9891"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"9892"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"9893"," Roman Catholic "," Catholic ","50 to under $75,000"
"9894"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"9895"," Atheist (do not believe in God) "," Unaffiliated ","30 to under $40,000"
"9896"," Roman Catholic "," Catholic ","75 to under $100,000"
"9897"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"9898"," Roman Catholic "," Catholic ","$150,000 or more"
"9899"," Protestant "," Mainline Protestant Churches ","Less than $10,000"
"9900"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"9901"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"9902"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"9903"," Protestant "," Historically Black Protestant Churches ","20 to under $30,000"
"9904"," Roman Catholic "," Catholic ","50 to under $75,000"
"9905"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"9906"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"9907"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"9908"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"9909"," Spiritual but not religious (VOL) "," Other Faiths ","Don't know/Refused (VOL.)"
"9910"," Protestant "," Historically Black Protestant Churches ","Don't know/Refused (VOL.)"
"9911"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"9912"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"9913"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"9914"," Nothing in particular "," Unaffiliated ","Less than $10,000"
"9915"," Roman Catholic "," Catholic ","20 to under $30,000"
"9916"," Agnostic (not sure if there is a God) "," Unaffiliated ","50 to under $75,000"
"9917"," Roman Catholic "," Catholic ","40 to under $50,000"
"9918"," Roman Catholic "," Catholic ","75 to under $100,000"
"9919"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"9920"," Roman Catholic "," Catholic ","75 to under $100,000"
"9921"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"9922"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"9923"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"9924"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"9925"," Roman Catholic "," Catholic ","50 to under $75,000"
"9926"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"9927"," Nothing in particular "," Unaffiliated ","$150,000 or more"
"9928"," Roman Catholic "," Catholic ","Less than $10,000"
"9929"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"9930"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"9931"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"9932"," Jewish (Judaism) "," Jewish ","Don't know/Refused (VOL.)"
"9933"," Roman Catholic "," Catholic ","75 to under $100,000"
"9934"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"9935"," Jewish (Judaism) "," Jewish ","100 to under $150,000"
"9936"," Nothing in particular "," Unaffiliated ","10 to under $20,000"
"9937"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"9938"," Roman Catholic "," Catholic ","$150,000 or more"
"9939"," Nothing in particular "," Unaffiliated ","30 to under $40,000"
"9940"," Roman Catholic "," Catholic ","30 to under $40,000"
"9941"," Protestant "," Historically Black Protestant Churches ","50 to under $75,000"
"9942"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"9943"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","50 to under $75,000"
"9944"," Nothing in particular "," Unaffiliated ","10 to under $20,000"
"9945"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","$150,000 or more"
"9946"," Roman Catholic "," Catholic ","50 to under $75,000"
"9947"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"9948"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"9949"," Roman Catholic "," Catholic ","100 to under $150,000"
"9950"," Unitarian (Universalist) (VOL) "," Other Faiths ","50 to under $75,000"
"9951"," Roman Catholic "," Catholic ","20 to under $30,000"
"9952"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"9953"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"9954"," Nothing in particular "," Unaffiliated ","100 to under $150,000"
"9955"," Protestant "," Historically Black Protestant Churches ","10 to under $20,000"
"9956"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"9957"," Don’t know/Refused (VOL) "," Don’t know/refused (no information on religious affiliation) ","Less than $10,000"
"9958"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"9959"," Protestant "," Historically Black Protestant Churches ","Don't know/Refused (VOL.)"
"9960"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"9961"," Roman Catholic "," Catholic ","20 to under $30,000"
"9962"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"9963"," Nothing in particular "," Unaffiliated ","10 to under $20,000"
"9964"," Roman Catholic "," Catholic ","100 to under $150,000"
"9965"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"9966"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"9967"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"9968"," Protestant "," Historically Black Protestant Churches ","Don't know/Refused (VOL.)"
"9969"," Nothing in particular "," Unaffiliated ","10 to under $20,000"
"9970"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"9971"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"9972"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"9973"," Roman Catholic "," Catholic ","10 to under $20,000"
"9974"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"9975"," Hindu "," Hindu ","Don't know/Refused (VOL.)"
"9976"," Roman Catholic "," Catholic ","$150,000 or more"
"9977"," Protestant "," Historically Black Protestant Churches ","20 to under $30,000"
"9978"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"9979"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"9980"," Nothing in particular "," Unaffiliated ","30 to under $40,000"
"9981"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"9982"," Roman Catholic "," Catholic ","75 to under $100,000"
"9983"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"9984"," Nothing in particular "," Unaffiliated ","10 to under $20,000"
"9985"," Roman Catholic "," Catholic ","10 to under $20,000"
"9986"," Agnostic (not sure if there is a God) "," Unaffiliated ","75 to under $100,000"
"9987"," Roman Catholic "," Catholic ","$150,000 or more"
"9988"," Protestant "," Evangelical Protestant Churches ","$150,000 or more"
"9989"," Roman Catholic "," Catholic ","50 to under $75,000"
"9990"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"9991"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"9992"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"9993"," Roman Catholic "," Catholic ","75 to under $100,000"
"9994"," Muslim (Islam) "," Muslim ","20 to under $30,000"
"9995"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"9996"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"9997"," Agnostic (not sure if there is a God) "," Unaffiliated ","30 to under $40,000"
"9998"," Roman Catholic "," Catholic ","30 to under $40,000"
"9999"," Protestant "," Evangelical Protestant Churches ","$150,000 or more"
"10000"," Don’t know/Refused (VOL) "," Don’t know/refused (no information on religious affiliation) ","50 to under $75,000"
"10001"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"10002"," Agnostic (not sure if there is a God) "," Unaffiliated ","40 to under $50,000"
"10003"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"10004"," Agnostic (not sure if there is a God) "," Unaffiliated ","100 to under $150,000"
"10005"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"10006"," Jewish (Judaism) "," Jewish ","$150,000 or more"
"10007"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"10008"," Roman Catholic "," Catholic ","75 to under $100,000"
"10009"," Protestant "," Historically Black Protestant Churches ","10 to under $20,000"
"10010"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"10011"," Protestant "," Historically Black Protestant Churches ","20 to under $30,000"
"10012"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"10013"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"10014"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"10015"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"10016"," Christian (VOL) "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"10017"," Roman Catholic "," Catholic ","50 to under $75,000"
"10018"," Wica (Wiccan) (VOL) "," Other Faiths ","10 to under $20,000"
"10019"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"10020"," Roman Catholic "," Catholic ","20 to under $30,000"
"10021"," Protestant "," Mainline Protestant Churches ","Less than $10,000"
"10022"," Protestant "," Historically Black Protestant Churches ","30 to under $40,000"
"10023"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"10024"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"10025"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"10026"," Roman Catholic "," Catholic ","75 to under $100,000"
"10027"," Roman Catholic "," Catholic ","50 to under $75,000"
"10028"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"10029"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"10030"," Nothing in particular "," Unaffiliated ","$150,000 or more"
"10031"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"10032"," Agnostic (not sure if there is a God) "," Unaffiliated ","20 to under $30,000"
"10033"," Roman Catholic "," Catholic ","50 to under $75,000"
"10034"," Christian (VOL) "," Evangelical Protestant Churches ","10 to under $20,000"
"10035"," Buddhist "," Buddhist ","30 to under $40,000"
"10036"," Nothing in particular "," Unaffiliated ","20 to under $30,000"
"10037"," Nothing in particular "," Unaffiliated ","100 to under $150,000"
"10038"," Roman Catholic "," Catholic ","75 to under $100,000"
"10039"," Nothing in particular "," Unaffiliated ","Less than $10,000"
"10040"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"10041"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"10042"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"10043"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"10044"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"10045"," Jewish (Judaism) "," Jewish ","100 to under $150,000"
"10046"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"10047"," Protestant "," Historically Black Protestant Churches ","10 to under $20,000"
"10048"," Protestant "," Historically Black Protestant Churches ","30 to under $40,000"
"10049"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"10050"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"10051"," Jewish (Judaism) "," Jewish ","$150,000 or more"
"10052"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"10053"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"10054"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"10055"," Protestant "," Historically Black Protestant Churches ","40 to under $50,000"
"10056"," Nothing in particular "," Unaffiliated ","100 to under $150,000"
"10057"," Roman Catholic "," Catholic ","30 to under $40,000"
"10058"," Buddhist "," Buddhist ","75 to under $100,000"
"10059"," Jehovah’s Witness (VOL) "," Jehovah's Witness ","20 to under $30,000"
"10060"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"10061"," Protestant "," Historically Black Protestant Churches ","30 to under $40,000"
"10062"," Spiritual but not religious (VOL) "," Other Faiths ","30 to under $40,000"
"10063"," Protestant "," Historically Black Protestant Churches ","75 to under $100,000"
"10064"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"10065"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"10066"," Roman Catholic "," Catholic ","75 to under $100,000"
"10067"," Jewish (Judaism) "," Jewish ","100 to under $150,000"
"10068"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"10069"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"10070"," Roman Catholic "," Catholic ","40 to under $50,000"
